Station,Latitude,Longitutde,ISO_DateTime_UTC,Depth,pH,Temperature,Salinity,Fluorescence,Oxygen_mg_L,Oxygen_mM_L,pH_corrected,Pressure
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,66,7.978,11.6805,30.7282,0.4846,6.3483,198.389,7.735031501,66.569
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,67,7.978,11.6803,30.7292,0.4962,6.319,197.471,7.735031501,67.577
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,68,7.979,11.6804,30.7302,0.503,6.3373,198.042,7.736031501,68.586
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,69,7.979,11.6781,30.7333,0.4785,6.335,197.971,7.736031501,69.595
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,70,7.978,11.6736,30.7376,0.4727,6.3705,199.08,7.735031501,70.604
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,71,7.979,11.6712,30.7394,0.484,6.3648,198.902,7.736031501,71.613
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,72,7.978,11.6682,30.7414,0.4794,6.3508,198.465,7.735031501,72.621
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,73,7.978,11.6615,30.7459,0.554,6.3382,198.071,7.735031501,73.63
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,74,7.976,11.6555,30.7499,0.5144,6.3163,197.387,7.733031501,74.639
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,75,7.976,11.6483,30.7551,0.4782,6.2709,195.967,7.733031501,75.648
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,76,7.975,11.6244,30.7725,0.4993,6.2458,195.184,7.732031501,76.657
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,77,7.972,11.5899,30.7971,0.4677,6.2545,195.456,7.729031501,77.665
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,78,7.97,11.5742,30.8088,0.485,6.2425,195.081,7.727031501,78.674
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,79,7.97,11.5664,30.8147,0.4902,6.2332,194.789,7.727031501,79.683
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,80,7.969,11.566,30.8149,0.476,6.2055,193.925,7.726031501,80.692
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,81,7.968,11.5593,30.8199,0.4703,6.1754,192.985,7.725031501,81.701
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,82,7.967,11.5519,30.8251,0.4619,6.183,193.223,7.724031501,82.71
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,83,7.967,11.5478,30.8283,0.4544,6.2094,194.047,7.724031501,83.719
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,84,7.967,11.5437,30.8317,0.4644,6.1802,193.135,7.724031501,84.727
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,85,7.965,11.526,30.8464,0.4643,6.1714,192.858,7.722031501,85.736
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,86,7.965,11.5033,30.8646,0.4812,6.1664,192.703,7.722031501,86.745
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,87,7.962,11.4973,30.869,0.4685,6.1473,192.106,7.719031501,87.754
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,88,7.962,11.4828,30.8803,0.4686,6.1575,192.425,7.719031501,88.763
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,89,7.961,11.4761,30.8854,0.4786,6.1147,191.088,7.718031501,89.772
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,90,7.96,11.4748,30.8869,0.4665,6.1578,192.433,7.717031501,90.781
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,91,7.961,11.4741,30.8878,0.4651,6.149,192.16,7.718031501,91.79
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,92,7.96,11.4738,30.8893,0.4529,6.1227,191.337,7.717031501,92.799
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,93,7.96,11.4739,30.8892,0.4891,6.1315,191.613,7.717031501,93.807
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,94,7.96,11.4718,30.8925,0.5184,6.1394,191.86,7.717031501,94.816
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,95,7.96,11.4668,30.8966,0.5292,6.1376,191.802,7.717031501,95.825
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,96,7.96,11.4511,30.9075,0.5691,6.0851,190.161,7.717031501,96.834
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,97,7.959,11.4411,30.9144,0.5014,6.1239,191.373,7.716031501,97.843
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,98,7.958,11.4373,30.917,0.5116,6.1352,191.727,7.715031501,98.852
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,99,7.958,11.4361,30.9177,0.4801,6.1341,191.694,7.715031501,99.861
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,100,7.958,11.4343,30.919,0.519,6.1183,191.199,7.715031501,100.87
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,101,7.957,11.4318,30.9208,0.4911,6.1138,191.058,7.714031501,101.879
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,102,7.958,11.4252,30.9258,0.4982,6.0951,190.473,7.715031501,102.888
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,103,7.958,11.4205,30.9295,0.5255,6.1017,190.679,7.715031501,103.897
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,104,7.957,11.4177,30.932,0.5669,6.1035,190.738,7.714031501,104.906
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,105,7.957,11.4142,30.935,0.5483,6.0744,189.826,7.714031501,105.915
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,106,7.956,11.4134,30.9356,0.5339,6.0737,189.805,7.713031501,106.924
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,107,7.956,11.4128,30.9361,0.5264,6.036,188.627,7.713031501,107.933
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,108,7.956,11.4115,30.9372,0.5356,6.0742,189.82,7.713031501,108.942
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,109,7.956,11.4111,30.9376,0.5152,6.085,190.158,7.713031501,109.951
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,110,7.955,11.4081,30.9401,0.5388,6.0765,189.894,7.712031501,110.96
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,111,7.956,11.4059,30.942,0.5314,6.0801,190.007,7.713031501,111.969
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,112,7.955,11.4045,30.9432,0.5155,6.0756,189.865,7.712031501,112.978
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,113,7.954,11.4045,30.9432,0.5147,6.0715,189.738,7.711031501,113.987
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,114,7.954,11.4007,30.9465,0.5784,6.0418,188.807,7.711031501,114.996
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,115,7.952,11.3805,30.9629,0.5367,6.0267,188.337,7.709031501,116.005
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,116,7.951,11.3685,30.9724,0.5894,6.0019,187.561,7.708031501,117.014
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,117,7.95,11.3603,30.9788,0.6044,6.0012,187.539,7.707031501,118.023
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,118,7.949,11.3538,30.984,0.5997,6.0031,187.6,7.706031501,119.032
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,119,7.948,11.3478,30.9886,0.6074,5.986,187.066,7.705031501,120.041
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,120,7.948,11.343,30.9923,0.5966,5.9526,186.021,7.705031501,121.05
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,121,7.948,11.3384,30.9954,0.5359,5.9942,187.321,7.705031501,122.059
P8,47.897333,-122.6055,2017-08-30T01:57:25Z,122,7.951,11.3451,30.9903,0.5337,5.9775,186.801,7.708031501,123.068
P11,47.371167,-123.132833,2017-06-26T03:23:01Z,1,8.134,19.7431,20.7629,1.5678,10.0097,312.808,8.249060023,1.008
